week,channel,leads,cpl,bookings,booking_rate,members,cpa,notes
"2026-04-23","facebook","","","","","","","campaign:no-risk-comeback hook:hook-parent-child-moment"
"2026-04-23","instagram","","","","","","","campaign:no-risk-comeback hook:hook-parent-child-moment"
"2026-04-23","google","","","","","","","campaign:no-risk-comeback hook:hook-parent-child-moment"
"2026-04-23","email","","","","","","","campaign:no-risk-comeback hook:hook-parent-child-moment"
